Team,Wins
BruceBrown,"{0: ""                   Pass To  FREQ\xa0M%\n0            Sheppard, Ben      0.5\n1           Walker, Jarace      0.4\n2          Tshiebwe, Oscar      0.3\n3      Mathurin, Bennedict      3.8\n4          Jackson, Isaiah      0.7\n5             Smith, Jalen      1.4\n6           Nesmith, Aaron      3.2\n7       Haliburton, Tyrese     18.1\n8              Toppin, Obi      4.5\n9            Nwora, Jordan      0.2\n10        Nembhard, Andrew      5.1\n11            Hield, Buddy      4.0\n12           Turner, Myles      6.5\n13         McConnell, T.J.      3.2\n14         Williams, Malik      0.7\n15            Dick, Gradey      4.2\n16       Gueye, Mouhamadou      0.7\n17  Freeman-Liberty, Javon      2.3\n18            Carton, D.J.      0.0\n19         Barnes, Scottie      5.1\n20           Agbaji, Ochai      1.8\n21      Quickley, Immanuel      4.8\n22        Ramsey, Jahmi'us      0.5\n23           Nwora, Jordan      2.1\n24        McDaniels, Jalen      1.3\n25             Barrett, RJ      2.7\n26         Trent Jr., Gary      3.7\n27          Porter, Jontay      2.3\n28          Boucher, Chris      0.2\n29           Simmons, Kobi      0.6\n30           Poeltl, Jakob      0.9\n31           Olynyk, Kelly      7.3\n32        Schroder, Dennis      4.4\n33         Temple, Garrett      1.1\n34         Young, Thaddeus      1.6"", 1: ""                 Pass From  FREQ\xa0R%\n0            Sheppard, Ben      0.4\n1           Walker, Jarace      0.2\n2          Tshiebwe, Oscar      0.3\n3      Mathurin, Bennedict      2.6\n4          Jackson, Isaiah      0.6\n5             Smith, Jalen      1.0\n6           Nesmith, Aaron      2.9\n7       Haliburton, Tyrese     18.0\n8              Toppin, Obi      4.8\n9            Nwora, Jordan      0.3\n10        Nembhard, Andrew      6.0\n11            Hield, Buddy      4.5\n12           Turner, Myles      4.9\n13         McConnell, T.J.      4.5\n14         Williams, Malik      0.7\n15            Dick, Gradey      3.2\n16       Gueye, Mouhamadou      0.4\n17  Freeman-Liberty, Javon      3.1\n18         Barnes, Scottie      4.9\n19           Agbaji, Ochai      2.8\n20      Quickley, Immanuel      4.4\n21        Ramsey, Jahmi'us      0.8\n22           Nwora, Jordan      3.1\n23        McDaniels, Jalen      1.1\n24             Barrett, RJ      2.9\n25         Trent Jr., Gary      2.5\n26          Porter, Jontay      2.4\n27          Boucher, Chris      0.2\n28           Simmons, Kobi      0.6\n29           Poeltl, Jakob      1.2\n30           Olynyk, Kelly      7.3\n31        Schroder, Dennis      4.1\n32         Temple, Garrett      1.3\n33         Young, Thaddeus      1.8""}"
JaylenBrown,"{0: '                Pass To  FREQ\xa0M%\n0        Banton, Dalano      0.4\n1           Hauser, Sam      4.5\n2       Tillman, Xavier      0.6\n3        Stevens, Lamar      0.2\n4     Pritchard, Payton      8.4\n5        Queta, Neemias      0.5\n6       Brissett, Oshae      1.3\n7          Kornet, Luke      2.3\n8        White, Derrick     24.3\n9         Tatum, Jayson     15.5\n10  Porzingis, Kristaps     17.9\n11        Holiday, Jrue     14.4\n12          Horford, Al      9.7', 1: '              Pass From  FREQ\xa0R%\n0        Banton, Dalano      0.5\n1           Hauser, Sam      3.9\n2       Tillman, Xavier      0.6\n3        Stevens, Lamar      0.1\n4     Pritchard, Payton      8.4\n5        Queta, Neemias      0.3\n6       Brissett, Oshae      1.3\n7       Mykhailiuk, Svi      0.1\n8          Kornet, Luke      2.5\n9        White, Derrick     26.0\n10        Tatum, Jayson     17.8\n11  Porzingis, Kristaps     11.6\n12        Holiday, Jrue     18.1\n13          Horford, Al      8.8'}"
KendallBrown,"{0: '             Pass To  FREQ\xa0M%\n0      Sheppard, Ben     17.0\n1     Walker, Jarace     26.4\n2   Jackson, Quenton      9.4\n3       Wong, Isaiah      3.8\n4    Tshiebwe, Oscar      3.8\n5    Jackson, Isaiah      3.8\n6       Smith, Jalen      1.9\n7      Nwora, Jordan      3.8\n8   Nembhard, Andrew      7.5\n9    McConnell, T.J.      3.8\n10   McDermott, Doug      3.8\n11    Johnson, James     15.1', 1: '           Pass From  FREQ\xa0R%\n0      Sheppard, Ben     13.7\n1     Walker, Jarace     31.4\n2   Jackson, Quenton     11.8\n3       Wong, Isaiah      3.9\n4    Tshiebwe, Oscar      3.9\n5    Jackson, Isaiah      5.9\n6       Smith, Jalen      2.0\n7      Nwora, Jordan      5.9\n8   Nembhard, Andrew      2.0\n9    McConnell, T.J.      3.9\n10   McDermott, Doug      3.9\n11    Johnson, James     11.8'}"
KobeBrown,"{0: '                Pass To  FREQ\xa0M%\n0        Miller, Jordan      0.7\n1       Diabate, Moussa      1.0\n2         Primo, Joshua      0.2\n3         Hyland, Bones     15.9\n4   Boston Jr., Brandon      9.9\n5            Martin, KJ      0.5\n6          Moon, Xavier     10.7\n7         Mann, Terance      7.4\n8          Coffey, Amir      5.7\n9         Theis, Daniel      4.2\n10         Zubac, Ivica      1.0\n11       Powell, Norman      6.7\n12       Plumlee, Mason      4.2\n13       Leonard, Kawhi      1.7\n14         George, Paul      2.7\n15        Harden, James      8.2\n16   Westbrook, Russell     19.1', 1: '              Pass From  FREQ\xa0R%\n0        Miller, Jordan      1.1\n1       Diabate, Moussa      2.5\n2         Primo, Joshua      0.4\n3         Hyland, Bones     17.8\n4   Boston Jr., Brandon     12.1\n5            Martin, KJ      1.1\n6          Moon, Xavier     10.3\n7         Mann, Terance      6.4\n8          Coffey, Amir      6.8\n9         Theis, Daniel      6.8\n10         Zubac, Ivica      0.4\n11       Powell, Norman      3.9\n12       Plumlee, Mason      5.7\n13       Leonard, Kawhi      2.1\n14         George, Paul      3.9\n15        Harden, James      6.8\n16   Westbrook, Russell     12.1'}"
MosesBrown,"{0: '              Pass To  FREQ\xa0M%\n0     Camara, Toumani      2.7\n1       Rupert, Rayan      2.2\n2         Moore, Taze      0.4\n3      Minaya, Justin      1.3\n4        Murray, Kris      0.9\n5      Walker, Jabari      1.8\n6     Bouyea, Jamaree      0.9\n7     Sharpe, Shaedon      1.8\n8    Henderson, Scoot     17.8\n9      Wainright, Ish      0.4\n10     Banton, Dalano     31.1\n11       Mays, Skylar      5.3\n12     Hagans, Ashton      9.3\n13  Thybulle, Matisse      1.8\n14   Simons, Anfernee     11.1\n15   Brogdon, Malcolm      8.0\n16      Grant, Jerami      3.1', 1: '            Pass From  FREQ\xa0R%\n0     Camara, Toumani      0.7\n1       Rupert, Rayan      8.1\n2         Moore, Taze      0.7\n3        Murray, Kris      2.2\n4      Walker, Jabari      5.9\n5     Bouyea, Jamaree      0.7\n6     Sharpe, Shaedon      1.5\n7    Henderson, Scoot     13.3\n8      Banton, Dalano     25.9\n9        Mays, Skylar      5.9\n10     Hagans, Ashton     12.6\n11  Thybulle, Matisse      3.0\n12   Simons, Anfernee     11.1\n13   Brogdon, Malcolm      4.4\n14      Grant, Jerami      3.7'}"
GregBrown III,"{0: '                    Pass To  FREQ\xa0M%\n0            Dennis, Dexter     15.4\n1  Prosper, Olivier-Maxence     19.2\n2              Hardy, Jaden     23.1\n3              Lawson, A.J.     15.4\n4         Williams, Brandon      7.7\n5           Williams, Grant      3.8\n6               Curry, Seth      3.8\n7         Hardaway Jr., Tim     11.5', 1: '                  Pass From  FREQ\xa0R%\n0            Dennis, Dexter      9.5\n1  Prosper, Olivier-Maxence     28.6\n2              Hardy, Jaden     23.8\n3              Lawson, A.J.      9.5\n4           Williams, Grant      4.8\n5               Curry, Seth     19.0\n6         Hardaway Jr., Tim      4.8'}"
CharlieBrown Jr.,"{0: '             Pass To  FREQ\xa0M%\n0      Sims, Jericho      8.7\n1     McBride, Miles     52.2\n2  Achiuwa, Precious     21.7\n3   Jeffries, DaQuan      4.3\n4  DiVincenzo, Donte      4.3\n5         Hart, Josh      8.7', 1: '            Pass From  FREQ\xa0R%\n0  Skapintsev, Dmytro      4.8\n1       Toppin, Jacob     28.6\n2       Sims, Jericho      4.8\n3      McBride, Miles     19.0\n4   Achiuwa, Precious     14.3\n5   DiVincenzo, Donte      9.5\n6          Hart, Josh      9.5\n7   Arcidiacono, Ryan      9.5'}"
TroyBrown Jr.,"{0: '                      Pass To  FREQ\xa0M%\n0            Evbuomwan, Tosan      2.2\n1          Fontecchio, Simone      0.3\n2              Sasser, Marcus     10.0\n3               Rhoden, Jared      1.3\n4                Duren, Jalen      3.3\n5                 Ivey, Jaden      6.1\n6            Cunningham, Cade      3.7\n7              Flynn, Malachi      6.7\n8              Wiseman, James      2.7\n9              Nowell, Jaylen      0.4\n10            Grimes, Quentin      0.3\n11              Milton, Shake      0.7\n12             Metu, Chimezie      2.8\n13             Fournier, Evan      4.0\n14                Gibson, Taj      0.1\n15               Minott, Josh      0.7\n16            Miller, Leonard      0.6\n17         Moore Jr., Wendell      0.7\n18                Garza, Luka      1.0\n19               Nix, Daishen      0.6\n20           McDaniels, Jaden      0.4\n21           Edwards, Anthony      3.0\n22                  Reid, Naz      4.9\n23  Alexander-Walker, Nickeil      7.7\n24         McLaughlin, Jordan      3.6\n25              Milton, Shake      6.3\n26        Towns, Karl-Anthony      6.3\n27             Anderson, Kyle      5.8\n28               Gobert, Rudy      3.4\n29               Conley, Mike     10.1', 1: '                    Pass From  FREQ\xa0R%\n0            Evbuomwan, Tosan      1.0\n1             Thompson, Ausar      0.2\n2          Fontecchio, Simone      0.7\n3              Boeheim, Buddy      0.2\n4              Sasser, Marcus      7.8\n5               Rhoden, Jared      0.3\n6                Duren, Jalen      2.3\n7                 Ivey, Jaden      5.5\n8            Cunningham, Cade      2.0\n9              Flynn, Malachi      7.6\n10             Wiseman, James      4.6\n11             Nowell, Jaylen      0.7\n12              Milton, Shake      0.7\n13             Metu, Chimezie      3.8\n14             Fournier, Evan      3.5\n15                Gibson, Taj      0.5\n16               Minott, Josh      1.2\n17            Miller, Leonard      1.0\n18         Moore Jr., Wendell      1.5\n19                Garza, Luka      1.2\n20               Nix, Daishen      0.3\n21           McDaniels, Jaden      0.8\n22           Edwards, Anthony      3.3\n23                  Reid, Naz      4.5\n24  Alexander-Walker, Nickeil      8.6\n25         McLaughlin, Jordan      3.3\n26              Milton, Shake      5.3\n27        Towns, Karl-Anthony      6.8\n28             Anderson, Kyle      5.8\n29               Gobert, Rudy      3.0\n30               Conley, Mike     12.4'}"
JalenBrunson,"{0: '                Pass To  FREQ\xa0M%\n0         Toppin, Jacob      0.1\n1         Sims, Jericho      1.2\n2        McBride, Miles      3.5\n3    Quickley, Immanuel      3.1\n4     Achiuwa, Precious      4.4\n5       Grimes, Quentin      4.1\n6           Barrett, RJ      6.9\n7      Jeffries, DaQuan      0.0\n8    Robinson, Mitchell      2.4\n9         Milton, Shake      0.1\n10    DiVincenzo, Donte     19.4\n11       Brunson, Jalen      0.0\n12           Hart, Josh     18.4\n13  Hartenstein, Isaiah      9.5\n14          Anunoby, OG      3.2\n15       Randle, Julius     20.2\n16       Fournier, Evan      0.1\n17    Bogdanovic, Bojan      1.9\n18          Burks, Alec      1.2\n19          Gibson, Taj      0.2', 1: '              Pass From  FREQ\xa0R%\n0         Toppin, Jacob      0.1\n1         Sims, Jericho      3.0\n2        McBride, Miles      2.9\n3    Quickley, Immanuel      2.4\n4     Achiuwa, Precious      6.4\n5       Grimes, Quentin      3.6\n6           Barrett, RJ      3.2\n7      Jeffries, DaQuan      0.0\n8    Robinson, Mitchell      5.8\n9         Milton, Shake      0.1\n10    DiVincenzo, Donte     16.0\n11       Brunson, Jalen      0.0\n12           Hart, Josh     18.7\n13  Hartenstein, Isaiah     16.1\n14          Anunoby, OG      3.4\n15       Randle, Julius     15.1\n16       Fournier, Evan      0.1\n17    Bogdanovic, Bojan      1.3\n18          Burks, Alec      1.1\n19          Gibson, Taj      0.6'}"
ThomasBryant,"{0: '               Pass To  FREQ\xa0M%\n0         Swider, Cole      0.4\n1          Cain, Jamal      3.0\n2    Jaquez Jr., Jaime      8.5\n3    Robinson, Orlando      0.6\n4        Jovic, Nikola      0.4\n5           Smith, Dru      1.9\n6        Hampton, R.J.      0.4\n7         Herro, Tyler     14.2\n8   Highsmith, Haywood      2.8\n9     Robinson, Duncan     10.2\n10       Martin, Caleb      8.3\n11    Richardson, Josh      9.1\n12       Rozier, Terry      8.3\n13       Wright, Delon      4.7\n14       Butler, Jimmy     14.0\n15        Mills, Patty      4.7\n16         Love, Kevin      0.8\n17         Lowry, Kyle      7.6', 1: '             Pass From  FREQ\xa0R%\n0         Swider, Cole      0.9\n1          Cain, Jamal      3.1\n2    Jaquez Jr., Jaime      9.9\n3        Jovic, Nikola      0.6\n4           Smith, Dru      2.3\n5        Hampton, R.J.      0.6\n6         Herro, Tyler     11.4\n7   Highsmith, Haywood      7.4\n8     Robinson, Duncan     12.5\n9        Martin, Caleb      9.4\n10    Richardson, Josh      7.1\n11       Rozier, Terry      6.0\n12       Wright, Delon      5.1\n13       Butler, Jimmy     12.2\n14        Mills, Patty      3.4\n15         Love, Kevin      0.6\n16         Lowry, Kyle      7.7'}"
KobeBufkin,"{0: ""               Pass To  FREQ\xa0M%\n0      Gueye, Mouhamed      2.4\n1          Griffin, AJ      1.0\n2       Johnson, Jalen     15.9\n3          Krejci, Vit     11.8\n4       Forrest, Trent      4.5\n5          Bey, Saddiq      2.4\n6      Okongwu, Onyeka      0.3\n7    Mathews, Garrison      3.1\n8       Windler, Dylan      0.3\n9     Hunter, De'Andre      4.5\n10         Young, Trae      1.0\n11     Fernando, Bruno     19.0\n12    Murray, Dejounte      4.5\n13  Bogdanovic, Bogdan     23.5\n14       Capela, Clint      2.1\n15    Matthews, Wesley      2.4\n16        Mills, Patty      1.0"", 1: ""             Pass From  FREQ\xa0R%\n0      Gueye, Mouhamed      4.5\n1          Griffin, AJ      0.9\n2       Johnson, Jalen     26.8\n3          Krejci, Vit      9.5\n4       Forrest, Trent      5.4\n5          Bey, Saddiq      1.2\n6      Okongwu, Onyeka      0.6\n7    Mathews, Garrison      5.7\n8       Windler, Dylan      1.5\n9     Hunter, De'Andre      6.0\n10     Fernando, Bruno     15.2\n11    Murray, Dejounte      4.2\n12  Bogdanovic, Bogdan     11.6\n13       Capela, Clint      3.3\n14    Matthews, Wesley      3.3\n15        Mills, Patty      0.6""}"
ReggieBullock Jr.,"{0: ""                  Pass To  FREQ\xa0M%\n0           Whitmore, Cam      4.1\n1          Thompson, Amen     10.1\n2          Williams, Nate      0.5\n3   Samuels Jr., Jermaine      0.5\n4             Eason, Tari      1.1\n5       Smith Jr., Jabari      4.6\n6         Sengun, Alperen      2.2\n7          Tate, Jae'Sean      4.4\n8            Green, Jalen     10.4\n9            Hinton, Nate      0.8\n10          Landale, Jock      4.4\n11         Holiday, Aaron     25.7\n12         Brooks, Dillon      4.4\n13         VanVleet, Fred     15.8\n14      Marjanovic, Boban      3.6\n15            Green, Jeff      7.4"", 1: ""                Pass From  FREQ\xa0R%\n0           Whitmore, Cam      5.4\n1          Thompson, Amen     11.2\n2          Williams, Nate      0.8\n3   Samuels Jr., Jermaine      0.4\n4             Eason, Tari      1.5\n5       Smith Jr., Jabari      6.5\n6         Sengun, Alperen      4.2\n7          Tate, Jae'Sean      7.3\n8            Green, Jalen      5.0\n9            Hinton, Nate      0.8\n10          Landale, Jock      4.6\n11         Holiday, Aaron     24.6\n12         Brooks, Dillon      2.3\n13         VanVleet, Fred     14.2\n14      Marjanovic, Boban      3.1\n15            Green, Jeff      8.1""}"
AlecBurks,"{0: '                Pass To  FREQ\xa0M%\n0       Thompson, Ausar      3.8\n1        Sasser, Marcus     14.0\n2          Duren, Jalen      3.4\n3           Ivey, Jaden      7.9\n4        Umude, Stanley      0.4\n5      Cunningham, Cade     12.5\n6        Livers, Isaiah      1.4\n7       Stewart, Isaiah      2.8\n8        Hayes, Killian      8.9\n9        Wiseman, James      2.4\n10       Knox II, Kevin      2.2\n11   Bagley III, Marvin      1.9\n12        Morris, Monte      3.7\n13          Harris, Joe      0.7\n14        Muscala, Mike      0.8\n15    Bogdanovic, Bojan      3.3\n16    Gallinari, Danilo      1.1\n17        Toppin, Jacob      0.2\n18        Sims, Jericho      1.5\n19       McBride, Miles      6.3\n20    Achiuwa, Precious      2.4\n21   Robinson, Mitchell      0.2\n22        Milton, Shake      0.1\n23    DiVincenzo, Donte      1.7\n24       Brunson, Jalen      5.3\n25           Hart, Josh      3.8\n26  Hartenstein, Isaiah      1.8\n27          Anunoby, OG      0.2\n28    Bogdanovic, Bojan      5.1', 1: '              Pass From  FREQ\xa0R%\n0       Thompson, Ausar      5.6\n1        Sasser, Marcus     12.5\n2          Duren, Jalen      5.6\n3           Ivey, Jaden      6.0\n4        Umude, Stanley      0.6\n5      Cunningham, Cade      8.6\n6        Livers, Isaiah      1.6\n7       Stewart, Isaiah      2.6\n8        Hayes, Killian     10.2\n9        Wiseman, James      4.5\n10       Knox II, Kevin      2.1\n11   Bagley III, Marvin      2.9\n12        Morris, Monte      2.6\n13          Harris, Joe      0.7\n14        Muscala, Mike      0.7\n15    Bogdanovic, Bojan      2.8\n16    Gallinari, Danilo      1.1\n17        Toppin, Jacob      0.1\n18        Sims, Jericho      1.8\n19       McBride, Miles      7.4\n20    Achiuwa, Precious      3.4\n21   Robinson, Mitchell      0.1\n22    DiVincenzo, Donte      2.4\n23       Brunson, Jalen      3.9\n24           Hart, Josh      5.0\n25  Hartenstein, Isaiah      1.5\n26          Anunoby, OG      0.3\n27    Bogdanovic, Bojan      3.1\n28          Gibson, Taj      0.3'}"
JaredButler,"{0: '                 Pass To  FREQ\xa0M%\n0      Vukcevic, Tristan      2.1\n1       Coulibaly, Bilal      5.4\n2         Bernard, Jules      3.9\n3          Rollins, Ryan      0.9\n4   Baldwin Jr., Patrick      6.3\n5          Davis, Johnny      4.3\n6        Omoruyi, Eugene      9.7\n7         Kispert, Corey     12.5\n8     Champagnie, Justin      4.4\n9          Gill, Anthony     12.7\n10         Butler, Jared      0.1\n11          Avdija, Deni     12.1\n12         Poole, Jordan     10.4\n13        Shamet, Landry      0.7\n14    Bagley III, Marvin      2.6\n15           Kuzma, Kyle      4.6\n16       Holmes, Richaun      3.3\n17           Jones, Tyus      0.7\n18         Muscala, Mike      1.8\n19     Gallinari, Danilo      1.4', 1: '               Pass From  FREQ\xa0R%\n0      Vukcevic, Tristan      2.4\n1       Coulibaly, Bilal      5.6\n2         Bernard, Jules      2.9\n3          Rollins, Ryan      1.3\n4   Baldwin Jr., Patrick     11.9\n5          Davis, Johnny      5.4\n6        Omoruyi, Eugene      9.5\n7         Kispert, Corey     12.4\n8     Champagnie, Justin      8.8\n9          Gill, Anthony      8.9\n10         Butler, Jared      0.1\n11          Avdija, Deni     13.1\n12         Poole, Jordan      5.1\n13        Shamet, Landry      0.5\n14    Bagley III, Marvin      2.0\n15           Kuzma, Kyle      3.6\n16       Holmes, Richaun      2.9\n17           Jones, Tyus      0.5\n18         Muscala, Mike      1.8\n19     Gallinari, Danilo      1.1'}"
JimmyButler,"{0: '               Pass To  FREQ\xa0M%\n0         Swider, Cole      0.2\n1          Cain, Jamal      0.2\n2    Jaquez Jr., Jaime      7.6\n3    Robinson, Orlando      1.7\n4        Jovic, Nikola      6.3\n5           Smith, Dru      0.6\n6        Hampton, R.J.      0.2\n7         Herro, Tyler      8.2\n8   Highsmith, Haywood      4.8\n9     Robinson, Duncan      9.2\n10       Martin, Caleb      9.6\n11      Bryant, Thomas      1.8\n12        Adebayo, Bam     13.8\n13    Richardson, Josh      5.2\n14       Rozier, Terry     10.4\n15       Wright, Delon      1.2\n16        Mills, Patty      2.0\n17         Love, Kevin      9.8\n18         Lowry, Kyle      7.2', 1: '             Pass From  FREQ\xa0R%\n0         Swider, Cole      0.1\n1          Cain, Jamal      0.1\n2    Jaquez Jr., Jaime      8.6\n3    Robinson, Orlando      2.0\n4        Jovic, Nikola      6.9\n5           Smith, Dru      0.6\n6        Hampton, R.J.      0.3\n7         Herro, Tyler      6.3\n8   Highsmith, Haywood      4.0\n9     Robinson, Duncan      7.5\n10       Martin, Caleb      8.7\n11      Bryant, Thomas      2.3\n12        Adebayo, Bam     13.3\n13    Richardson, Josh      5.8\n14       Rozier, Terry      9.3\n15       Wright, Delon      1.2\n16        Mills, Patty      1.5\n17         Love, Kevin     11.0\n18         Lowry, Kyle     10.4'}"
JamalCain,"{0: '               Pass To  FREQ\xa0M%\n0         Swider, Cole      6.3\n1    Williams, Alondes      3.2\n2    Jaquez Jr., Jaime     14.8\n3    Robinson, Orlando      2.1\n4        Jovic, Nikola      4.8\n5           Smith, Dru      5.8\n6        Hampton, R.J.      1.1\n7         Herro, Tyler     12.2\n8   Highsmith, Haywood      1.1\n9     Robinson, Duncan      6.3\n10       Martin, Caleb      4.8\n11      Bryant, Thomas      5.8\n12        Adebayo, Bam      6.9\n13    Richardson, Josh      4.2\n14       Rozier, Terry      0.5\n15       Wright, Delon      0.5\n16       Butler, Jimmy      2.1\n17        Mills, Patty      1.6\n18         Love, Kevin      4.2\n19         Lowry, Kyle     11.6', 1: '             Pass From  FREQ\xa0R%\n0         Swider, Cole      3.4\n1    Williams, Alondes      1.1\n2    Jaquez Jr., Jaime     18.6\n3    Robinson, Orlando      5.1\n4        Jovic, Nikola      1.1\n5           Smith, Dru      3.4\n6        Hampton, R.J.      2.3\n7         Herro, Tyler     11.3\n8   Highsmith, Haywood      1.7\n9     Robinson, Duncan     10.2\n10       Martin, Caleb      2.3\n11      Bryant, Thomas      7.9\n12        Adebayo, Bam      3.4\n13    Richardson, Josh      2.8\n14       Rozier, Terry      0.6\n15       Wright, Delon      2.8\n16       Butler, Jimmy      2.3\n17        Mills, Patty      1.7\n18         Love, Kevin      8.5\n19         Lowry, Kyle      9.6'}"
KentaviousCaldwell-Pope,"{0: '                Pass To  FREQ\xa0M%\n0     Gillespie, Collin      1.3\n1        Watson, Peyton      1.4\n2      Braun, Christian      2.8\n3     Strawther, Julian      0.3\n4             Huff, Jay      0.1\n5           Nnaji, Zeke      0.1\n6        Pickett, Jalen      0.3\n7   Porter Jr., Michael      8.4\n8         Murray, Jamal     16.8\n9         Jokic, Nikola     43.8\n10        Gordon, Aaron     10.1\n11      Holiday, Justin      0.6\n12      Jackson, Reggie     13.4\n13      Jordan, DeAndre      0.5', 1: '              Pass From  FREQ\xa0R%\n0     Gillespie, Collin      1.2\n1        Watson, Peyton      1.9\n2      Braun, Christian      3.3\n3     Strawther, Julian      0.5\n4             Huff, Jay      0.1\n5           Nnaji, Zeke      0.2\n6        Pickett, Jalen      0.4\n7   Porter Jr., Michael      8.7\n8         Murray, Jamal     13.0\n9         Jokic, Nikola     47.7\n10        Gordon, Aaron     11.5\n11      Holiday, Justin      0.9\n12      Jackson, Reggie      9.9\n13      Jordan, DeAndre      0.5\n14     Simons, Anfernee      0.1'}"
ToumaniCamara,"{0: '                 Pass To  FREQ\xa0M%\n0            Reath, Duop      3.8\n1          Rupert, Rayan      1.4\n2            Moore, Taze      0.3\n3         Minaya, Justin      1.0\n4           Murray, Kris      3.0\n5         Walker, Jabari      2.8\n6        Bouyea, Jamaree      0.4\n7        Sharpe, Shaedon      6.3\n8       Henderson, Scoot     20.6\n9            Badji, Ibou      0.3\n10        Banton, Dalano      5.3\n11          Mays, Skylar      6.4\n12        Hagans, Ashton      2.7\n13     Thybulle, Matisse      2.8\n14          Brown, Moses      0.1\n15  Williams III, Robert      0.5\n16        Ayton, Deandre      4.6\n17      Simons, Anfernee     17.7\n18      Brogdon, Malcolm     13.4\n19         Grant, Jerami      6.8', 1: '               Pass From  FREQ\xa0R%\n0            Reath, Duop      4.1\n1          Rupert, Rayan      2.5\n2            Moore, Taze      0.3\n3         Minaya, Justin      1.9\n4           Murray, Kris      4.8\n5         Walker, Jabari      3.9\n6        Bouyea, Jamaree      0.7\n7        Sharpe, Shaedon      6.8\n8       Henderson, Scoot     18.3\n9         Wainright, Ish      0.5\n10           Badji, Ibou      0.7\n11        Banton, Dalano      5.1\n12          Mays, Skylar      4.7\n13        Hagans, Ashton      2.1\n14     Thybulle, Matisse      4.0\n15          Brown, Moses      0.5\n16  Williams III, Robert      0.5\n17        Ayton, Deandre      6.2\n18      Simons, Anfernee     17.6\n19      Brogdon, Malcolm      7.7\n20         Grant, Jerami      7.1'}"
ClintCapela,"{0: ""               Pass To  FREQ\xa0M%\n0         Bufkin, Kobe      0.8\n1      Gueye, Mouhamed      0.1\n2          Griffin, AJ      0.1\n3       Johnson, Jalen      8.2\n4          Krejci, Vit      1.2\n5       Forrest, Trent      0.4\n6          Bey, Saddiq      4.2\n7      Okongwu, Onyeka      0.4\n8    Mathews, Garrison      0.9\n9       Windler, Dylan      0.2\n10    Hunter, De'Andre      6.7\n11         Young, Trae     23.0\n12    Murray, Dejounte     38.1\n13  Bogdanovic, Bogdan     14.8\n14    Matthews, Wesley      0.6\n15        Mills, Patty      0.1"", 1: ""             Pass From  FREQ\xa0R%\n0         Bufkin, Kobe      0.5\n1      Gueye, Mouhamed      0.1\n2          Griffin, AJ      0.1\n3       Johnson, Jalen     11.8\n4          Krejci, Vit      3.9\n5       Forrest, Trent      0.8\n6          Bey, Saddiq      5.9\n7      Okongwu, Onyeka      0.5\n8    Mathews, Garrison      0.8\n9       Windler, Dylan      0.1\n10    Hunter, De'Andre      8.5\n11         Young, Trae     19.5\n12    Murray, Dejounte     33.7\n13  Bogdanovic, Bogdan     12.9\n14    Matthews, Wesley      0.8\n15        Mills, Patty      0.2""}"
JevonCarter,"{0: '              Pass To  FREQ\xa0M%\n0      Bitim, Onuralp      1.7\n1        Funk, Andrew      0.4\n2       Sanogo, Adama      0.8\n3    Phillips, Julian      2.0\n4        Terry, Dalen      5.4\n5        Drell, Henri      0.4\n6       Taylor, Terry      1.6\n7        Dosunmu, Ayo     13.1\n8   Williams, Patrick      4.4\n9      Green, Javonte      0.8\n10        White, Coby     14.7\n11      Craig, Torrey      6.3\n12       Caruso, Alex      9.0\n13       LaVine, Zach      3.9\n14    Drummond, Andre      8.9\n15    Vucevic, Nikola     10.7\n16     DeRozan, DeMar     16.2', 1: '            Pass From  FREQ\xa0R%\n0      Bitim, Onuralp      1.0\n1        Funk, Andrew      0.2\n2       Sanogo, Adama      1.1\n3    Phillips, Julian      1.8\n4        Terry, Dalen      4.8\n5        Drell, Henri      0.7\n6       Taylor, Terry      2.3\n7        Dosunmu, Ayo     12.5\n8   Williams, Patrick      5.6\n9      Green, Javonte      1.2\n10        White, Coby     12.6\n11      Craig, Torrey      7.6\n12       Caruso, Alex      9.6\n13       LaVine, Zach      2.4\n14    Drummond, Andre      8.9\n15    Vucevic, Nikola     11.9\n16     DeRozan, DeMar     16.0'}"
WendellCarter Jr.,"{0: '            Pass To  FREQ\xa0M%\n0    Black, Anthony      4.6\n1    Houstan, Caleb      1.4\n2   Banchero, Paolo     27.0\n3      Suggs, Jalen     19.2\n4     Wagner, Franz     19.7\n5   Queen, Trevelin      0.1\n6     Anthony, Cole      6.8\n7      Okeke, Chuma      0.4\n8    Wagner, Moritz      0.5\n9   Isaac, Jonathan      0.5\n10  Fultz, Markelle     10.4\n11      Ingles, Joe      3.8\n12     Harris, Gary      5.7', 1: '          Pass From  FREQ\xa0R%\n0    Black, Anthony      4.3\n1    Houstan, Caleb      1.0\n2   Banchero, Paolo     26.9\n3      Suggs, Jalen     18.8\n4     Wagner, Franz     18.9\n5   Queen, Trevelin      0.2\n6     Anthony, Cole      6.3\n7      Okeke, Chuma      0.5\n8    Wagner, Moritz      0.3\n9   Isaac, Jonathan      0.2\n10  Fultz, Markelle     12.9\n11      Ingles, Joe      4.5\n12     Harris, Gary      5.2'}"
